,nameGiven,name_last,name_first,Yrs,From,To,W,L,Season_WL_PCT,Ties,G,Wpost,Lpost,Post_WL_PCT,BestFin,WrstFin,AvRk,PlayoffApp,WSwon,PennWon,ASG
311,Dan Jennings,Jennings,Dan,1,2015,2015,55,69,0.444,0,124,0,0,0.0,3,3,3.0,0,0,0,0
121,Craig Counsell,Counsell,Craig,4,2015,2018,316,308,0.506,0,624,6,4,0.6,1,4,2.7,1,0,0,0
553,Dave Roberts,Roberts,Dave,4,2015,2018,287,201,0.588,0,488,22,17,0.564,1,4,1.0,3,0,1,1
88,Kevin Cash,Cash,Kevin,4,2015,2018,318,330,0.491,0,648,0,0,0.0,3,5,3.8,0,0,0,0
251,Chip Hale,Hale,Chip,2,2015,2016,148,176,0.457,0,324,0,0,0.0,3,4,3.5,0,0,0,0
23,Jeff Banister,Banister,Jeff,4,2015,2018,325,313,0.509,0,638,2,6,0.25,1,5,2.5,2,0,0,0
461,Paul Molitor HOF,Molitor,Paul,4,2015,2018,305,343,0.471,0,648,0,1,0.0,2,5,2.8,1,0,0,0
473,Pat Murphy,Murphy,Pat,1,2015,2015,42,54,0.438,0,96,0,0,0.0,4,4,4.0,0,0,0,0
528,Bryan Price,Price,Bryan,5,2014,2018,279,387,0.419,0,666,0,0,0.0,4,5,4.8,0,0,0,0
46,Tim Bogar,Bogar,Tim,1,2014,2014,14,8,0.636,0,22,0,0,0.0,5,5,5.0,0,0,0,0
543,Rick Renteria,Renteria,Rick,3,2014,2018,202,284,0.416,0,486,0,0,0.0,4,5,4.3,0,0,0,0
363,Tom Lawless,Lawless,Tom,1,2014,2014,11,13,0.458,0,24,0,0,0.0,4,4,4.0,0,0,0,0
16,Brad Ausmus,Ausmus,Brad,4,2014,2017,314,332,0.486,0,646,0,3,0.0,1,5,3.2,1,0,0,0
710,Matt Williams,Williams,Matt,2,2014,2015,179,145,0.552,0,324,1,3,0.25,1,2,1.5,1,0,0,0
524,Bo Porter,Porter,Bo,2,2013,2014,110,190,0.367,0,300,0,0,0.0,5,5,5.0,0,0,0,0
541,Mike Redmond,Redmond,Mike,3,2013,2015,155,207,0.428,0,362,0,0,0.0,4,5,4.4,0,0,0,0
697,Walt Weiss,Weiss,Walt,4,2013,2016,283,365,0.437,0,648,0,0,0.0,3,5,4.3,0,0,0,0
578,Ryne Sandberg HOF,Sandberg,Ryne,3,2013,2015,119,159,0.428,0,278,0,0,0.0,4,5,4.8,0,0,0,0
408,Mike Matheny,Matheny,Mike,7,2012,2018,591,474,0.555,0,1065,21,22,0.488,1,3,1.8,4,0,1,1
147,Tony DeFrancesco,DeFrancesco,Tony,1,2012,2012,16,25,0.39,0,41,0,0,0.0,6,6,6.0,0,0,0,0
6,Sandy Alomar,Alomar,Sandy,1,2012,2012,3,3,0.5,0,6,0,0,0.0,4,4,4.0,0,0,0,0
675,Robin Ventura,Ventura,Robin,5,2012,2016,375,435,0.463,0,810,0,0,0.0,2,5,3.8,0,0,0,0
116,Don Cooper,Cooper,Don,1,2011,2011,1,1,0.5,0,2,0,0,0.0,3,3,3.0,0,0,0,0
412,Don Mattingly,Mattingly,Don,8,2011,2018,665,628,0.514,0,1293,8,11,0.421,1,5,2.2,3,0,0,0
184,John Farrell,Farrell,John,7,2011,2017,586,548,0.517,0,1134,12,11,0.522,1,5,3.0,3,1,1,1
559,Ron Roenicke,Roenicke,Ron,5,2011,2015,342,331,0.508,0,673,5,6,0.455,1,5,2.8,1,0,0,0
308,Brandon Hyde,Hyde,Brandon,1,2011,2011,0,1,0.0,0,1,0,0,0.0,5,5,5.0,0,0,0,0
222,Kirk Gibson,Gibson,Kirk,5,2010,2014,353,375,0.485,0,728,2,3,0.4,1,5,3.0,1,0,0,0
456,Brad Mills,Mills,Brad,3,2010,2012,171,274,0.384,0,445,0,0,0.0,4,6,5.3,0,0,0,1
64,Daren Brown,Brown,Daren,1,2010,2010,19,31,0.38,0,50,0,0,0.0,4,4,4.0,0,0,0,0
533,Mike Quade,Quade,Mike,2,2010,2011,95,104,0.477,0,199,0,0,0.0,5,5,5.0,0,0,0,0
558,Edwin Rodriguez,Rodriguez,Edwin,2,2010,2011,78,85,0.479,0,163,0,0,0.0,3,5,3.9,0,0,0,0
577,Juan Samuel,Samuel,Juan,1,2010,2010,17,34,0.333,0,51,0,0,0.0,5,5,5.0,0,0,0,0
96,Dave Clark,Clark,Dave,1,2009,2009,4,9,0.308,0,13,0,0,0.0,5,5,5.0,0,0,0,0
683,Don Wakamatsu,Wakamatsu,Don,3,2009,2018,130,154,0.458,0,284,0,0,0.0,3,5,3.5,0,0,0,0
287,AJ Hinch,Hinch,AJ,6,2009,2018,463,397,0.538,0,860,18,14,0.562,1,5,2.6,3,1,1,1
642,Dale Sveum,Sveum,Dale,3,2008,2013,134,202,0.399,0,336,1,3,0.25,2,5,4.9,1,0,0,0
575,John Russell,Russell,John,3,2008,2010,186,299,0.384,0,485,0,0,0.0,6,6,6.0,0,0,0,0
285,Trey Hillman,Hillman,Trey,3,2008,2010,152,207,0.423,0,359,0,0,0.0,4,5,4.1,0,0,0,0
217,Bob Geren,Geren,Bob,5,2007,2011,334,376,0.47,0,710,0,0,0.0,2,4,3.1,0,0,0,0
691,Ron Washington,Washington,Ron,8,2007,2014,664,611,0.521,0,1275,18,16,0.529,1,5,2.3,3,0,2,2
435,John McLaren,McLaren,John,3,2007,2011,70,89,0.44,0,159,0,0,0.0,2,4,2.9,0,0,0,0
40,Bud Black,Black,Bud,11,2007,2018,827,860,0.49,0,1687,1,4,0.2,2,5,3.4,2,0,0,0
0,Manny Acta,Acta,Manny,6,2007,2012,372,518,0.418,0,890,0,0,0.0,2,5,4.1,0,0,0,0
667,Dave Trembley,Trembley,Dave,4,2007,2010,187,283,0.398,0,470,0,0,0.0,4,5,4.8,0,0,0,0
115,Cecil Cooper,Cooper,Cecil,3,2007,2009,171,170,0.501,0,341,0,0,0.0,3,4,3.5,0,0,0,0
228,Fredi Gonzalez,Gonzalez,Fredi,10,2007,2016,710,692,0.506,0,1402,1,4,0.2,1,5,2.8,2,0,0,0
224,Joe Girardi,Girardi,Joe,11,2006,2017,988,794,0.554,0,1782,28,24,0.538,1,4,2.3,6,1,1,1
538,Willie Randolph,Randolph,Willie,4,2005,2008,302,253,0.544,0,555,6,4,0.6,1,3,2.1,1,0,0,0
391,Pete Mackanin,Mackanin,Pete,5,2005,2017,227,291,0.438,0,518,0,0,0.0,4,6,4.7,0,0,0,0
512,Sam Perlozzo,Perlozzo,Sam,3,2005,2007,122,164,0.427,0,286,0,0,0.0,4,5,4.2,0,0,0,0
673,Gary Varsho,Varsho,Gary,1,2004,2004,1,1,0.5,0,2,0,0,0.0,2,2,2.0,0,0,0,0
220,John Gibbons,Gibbons,John,11,2004,2018,793,789,0.501,0,1582,10,10,0.5,1,5,3.2,2,0,0,0
508,Al Pedrique,Pedrique,Al,1,2004,2004,22,61,0.265,0,83,0,0,0.0,5,5,5.0,0,0,0,0
246,Ozzie Guillen,Guillen,Ozzie,9,2004,2012,747,710,0.513,0,1457,12,4,0.75,1,5,2.7,2,1,1,1
415,Lee Mazzilli,Mazzilli,Lee,2,2004,2005,129,140,0.48,0,269,0,0,0.0,3,4,3.4,0,0,0,0
664,Alan Trammell HOF,Trammell,Alan,4,2003,2014,187,302,0.382,0,489,0,0,0.0,4,5,4.3,0,0,0,0
452,Dave Miley,Miley,Dave,3,2003,2005,125,164,0.433,0,289,0,0,0.0,4,6,4.7,0,0,0,0
446,Bob Melvin,Melvin,Bob,15,2003,2018,1127,1107,0.504,0,2234,7,12,0.368,1,5,2.8,5,0,0,0
696,Eric Wedge,Wedge,Eric,10,2003,2013,774,846,0.478,0,1620,6,5,0.545,1,4,3.3,1,0,0,0
728,Ned Yost,Yost,Ned,15,2003,2018,1144,1238,0.48,0,2382,22,9,0.71,1,6,3.5,2,1,2,2
386,Ken Macha,Macha,Ken,6,2003,2010,525,447,0.54,0,972,5,7,0.417,1,3,2.0,2,0,0,0
509,Tony Pena,Pena,Tony,4,2002,2005,198,285,0.41,0,483,0,0,0.0,3,5,4.1,0,0,0,0
338,Bruce Kimm,Kimm,Bruce,1,2002,2002,33,45,0.423,0,78,0,0,0.0,5,5,5.0,0,0,0,0
213,Ron Gardenhire,Gardenhire,Ron,14,2002,2018,1132,1137,0.499,0,2269,6,21,0.222,1,5,2.6,6,0,0,0
531,Luis Pujols,Pujols,Luis,1,2002,2002,55,100,0.355,0,155,0,0,0.0,5,5,5.0,0,0,0,0
373,Grady Little,Little,Grady,4,2002,2007,358,290,0.552,0,648,6,9,0.4,2,4,2.5,2,0,0,0
569,Jerry Royster,Royster,Jerry,1,2002,2002,53,94,0.361,0,147,0,0,0.0,6,6,6.0,0,0,0,0
610,Joel Skinner,Skinner,Joel,1,2002,2002,35,41,0.461,0,76,0,0,0.0,3,3,3.0,0,0,0,0
305,Clint Hurdle,Hurdle,Clint,16,2002,2018,1200,1253,0.489,1,2454,10,9,0.526,2,5,3.4,4,0,1,1
460,John Mizerock,Mizerock,John,1,2002,2002,5,8,0.385,0,13,0,0,0.0,4,4,4.0,0,0,0,0
661,Carlos Tosca,Tosca,Carlos,3,2002,2004,191,191,0.5,0,382,0,0,0.0,3,5,3.6,0,0,0,0
334,Joe Kerrigan,Kerrigan,Joe,1,2001,2001,17,26,0.395,0,43,0,0,0.0,2,2,2.0,0,0,0,0
61,Bob Brenly,Brenly,Bob,4,2001,2004,303,262,0.536,0,565,11,9,0.55,1,5,2.1,2,1,1,1
663,Jim Tracy,Tracy,Jim,11,2001,2012,856,880,0.493,0,1736,2,6,0.25,1,6,3.5,2,0,0,0
480,Jerry Narron,Narron,Jerry,5,2001,2007,291,341,0.46,1,633,0,0,0.0,3,6,4.2,0,0,0,0
422,Lloyd McClendon,McClendon,Lloyd,7,2001,2015,499,607,0.451,0,1106,0,0,0.0,3,6,4.5,0,0,0,0
404,Buck Martinez,Martinez,Buck,2,2001,2002,100,115,0.465,0,215,0,0,0.0,3,3,3.0,0,0,0,0
588,Mike Scioscia,Scioscia,Mike,19,2000,2018,1650,1428,0.536,0,3078,21,27,0.438,1,4,2.3,7,1,1,1
398,Charlie Manuel,Manuel,Charlie,12,2000,2013,1000,826,0.548,0,1826,29,22,0.569,1,4,1.7,6,1,2,2
378,Davey Lopes,Lopes,Davey,3,2000,2002,144,195,0.425,1,340,0,0,0.0,3,6,3.6,0,0,0,0
209,Matt Galante,Galante,Matt,1,1999,1999,13,14,0.481,0,27,0,0,0.0,2,2,2.0,0,0,0,0
505,Larry Parrish,Parrish,Larry,2,1998,1999,82,104,0.441,0,186,0,0,0.0,3,5,3.3,0,0,0,0
316,Tim Johnson,Johnson,Tim,1,1998,1998,88,74,0.543,1,163,0,0,0.0,3,3,3.0,0,0,0,0
292,Glenn Hoffman,Hoffman,Glenn,1,1998,1998,47,41,0.534,0,88,0,0,0.0,3,3,3.0,0,0,0,0
565,Larry Rothschild,Rothschild,Larry,4,1998,2001,205,294,0.411,0,499,0,0,0.0,5,5,5.0,0,0,0,0
399,Jerry Manuel,Manuel,Jerry,9,1998,2010,704,684,0.507,2,1390,0,3,0.0,1,4,2.5,1,0,0,0
151,Larry Dierker,Dierker,Larry,5,1997,2001,435,348,0.556,0,783,2,12,0.143,1,4,1.6,4,0,0,0
476,Tony Muser,Muser,Tony,6,1997,2002,317,431,0.424,0,748,0,0,0.0,3,5,4.1,0,0,0,0
199,Terry Francona,Francona,Terry,18,1997,2018,1574,1340,0.54,0,2914,40,29,0.58,1,5,2.5,9,2,3,2
534,Mel Queen,Queen,Mel,1,1997,1997,4,1,0.8,0,5,0,0,0.0,5,5,5.0,0,0,0,0
574,Bill Russell,Russell,Bill,3,1996,1998,173,149,0.537,0,322,0,3,0.0,2,3,2.2,1,0,0,0
47,John Boles,Boles,John,4,1996,2001,205,241,0.46,0,446,0,0,0.0,3,5,3.7,0,0,0,0
32,Buddy Bell,Bell,Buddy,9,1996,2007,519,724,0.418,0,1243,0,0,0.0,3,5,4.6,0,0,0,0
393,Joe Maddon,Maddon,Joe,15,1996,2018,1168,990,0.541,1,2159,32,35,0.478,1,5,2.6,8,1,2,2
345,Ray Knight,Knight,Ray,3,1996,2003,125,137,0.477,0,262,0,0,0.0,3,5,3.0,0,0,0,0
542,Phil Regan,Regan,Phil,1,1995,1995,71,73,0.493,0,144,0,0,0.0,3,3,3.0,0,0,0,0
35,Terry Bevington,Bevington,Terry,3,1995,1997,222,214,0.509,1,437,0,0,0.0,2,3,2.3,0,0,0,0
45,Bruce Bochy,Bochy,Bruce,24,1995,2018,1926,1944,0.498,0,3870,44,33,0.571,1,5,3.0,8,3,4,4
51,Bob Boone,Boone,Bob,6,1995,2003,371,444,0.455,0,815,0,0,0.0,2,5,4.1,0,0,0,0
320,Mike Jorgensen,Jorgensen,Mike,1,1995,1995,42,54,0.438,0,96,0,0,0.0,4,4,4.0,0,0,0,0
351,Marcel Lachemann,Lachemann,Marcel,3,1994,1996,161,170,0.486,0,331,0,0,0.0,2,4,3.1,0,0,0,0
109,Terry Collins,Collins,Terry,13,1994,2017,995,1017,0.495,0,2012,8,7,0.533,1,4,2.6,2,0,1,1
332,Kevin Kennedy,Kennedy,Kevin,4,1993,1996,309,273,0.531,0,582,0,3,0.0,1,3,1.8,1,0,0,0
19,Dusty Baker,Baker,Dusty,22,1993,2017,1863,1636,0.532,1,3500,23,32,0.418,1,6,2.5,9,0,1,1
31,Don Baylor,Baylor,Don,9,1993,2002,627,689,0.476,0,1316,1,3,0.25,2,6,3.9,1,0,0,0
510,Tony Perez HOF,Perez,Tony,2,1993,2001,74,84,0.468,0,158,0,0,0.0,4,5,4.3,0,0,0,0
215,Phil Garner,Garner,Phil,15,1992,2007,985,1054,0.483,1,2040,13,13,0.5,2,7,3.8,2,0,1,1
7,Felipe Alou,Alou,Felipe,14,1992,2006,1033,1021,0.503,1,2055,1,3,0.25,1,5,2.9,1,0,0,1
355,Gene Lamont,Lamont,Gene,8,1992,2000,553,562,0.496,1,1116,2,4,0.333,1,6,3.1,1,0,0,0
602,Buck Showalter,Showalter,Buck,20,1992,2018,1551,1517,0.506,1,3069,9,14,0.391,1,5,3.1,5,0,0,1
522,Bill Plummer,Plummer,Bill,1,1992,1992,64,98,0.395,0,162,0,0,0.0,7,7,7.0,0,0,0,0
289,Butch Hobson,Hobson,Butch,3,1992,1994,207,232,0.472,0,439,0,0,0.0,4,7,5.5,0,0,0,0
257,Toby Harrah,Harrah,Toby,1,1992,1992,32,44,0.421,0,76,0,0,0.0,4,4,4.0,0,0,0,0
550,Jim Riggleman,Riggleman,Jim,13,1992,2018,726,904,0.445,0,1630,0,3,0.0,2,7,4.5,1,0,0,0
581,Bob Schaefer,Schaefer,Bob,2,1991,2005,6,12,0.333,0,18,0,0,0.0,5,6,5.1,0,0,0,0
652,Gene Tenace,Tenace,Gene,1,1991,1991,19,14,0.576,0,33,0,0,0.0,1,1,1.0,0,0,0,0
134,Mike Cubbage,Cubbage,Mike,1,1991,1991,3,4,0.429,0,7,0,0,0.0,5,5,5.0,0,0,0,0
442,Hal McRae,McRae,Hal,6,1991,2002,399,473,0.458,0,872,0,0,0.0,3,6,4.5,0,0,0,0
496,Johnny Oates,Oates,Johnny,11,1991,2001,797,746,0.517,1,1544,1,9,0.1,1,6,2.7,3,0,0,0
175,Jim Essian,Essian,Jim,1,1991,1991,59,63,0.484,0,122,0,0,0.0,4,4,4.0,0,0,0,0
572,Tom Runnells,Runnells,Tom,2,1991,1992,68,81,0.456,0,149,0,0,0.0,2,6,5.0,0,0,0,0
256,Mike Hargrove,Hargrove,Mike,16,1991,2007,1188,1173,0.503,2,2363,27,25,0.519,1,7,3.1,5,0,2,2
549,Greg Riddoch,Riddoch,Greg,3,1990,1992,200,194,0.508,0,394,0,0,0.0,3,5,3.4,0,0,0,0
447,Stump Merrill,Merrill,Stump,2,1990,1991,120,155,0.436,0,275,0,0,0.0,5,7,5.8,0,0,0,0
259,Bud Harrelson,Harrelson,Bud,2,1990,1991,145,129,0.529,0,274,0,0,0.0,2,5,3.7,0,0,0,0
